id,name,category,price
P001,Apple Laptop,Electronics,85000.00
P002,Apple Smartphone,Electronics,65000.00
P003,Apple Tablet,Electronics,45000.00
P004,Apple Monitor,Electronics,75000.00
P005,Apple Smartwatch,Electronics,35000.00
P006,Apple Headphones,Electronics,25000.00
P007,Apple Earbuds,Electronics,18000.00
P008,Apple Keyboard,Electronics,8000.00
P009,Apple Mouse,Electronics,6000.00
P010,Apple Charger,Electronics,2500.00
P011,Samsung Laptop,Electronics,65000.00
P012,Samsung Smartphone,Electronics,55000.00
P013,Samsung Tablet,Electronics,35000.00
P014,Samsung Monitor,Electronics,25000.00
P015,Samsung Smartwatch,Electronics,20000.00
P016,Samsung Headphones,Electronics,12000.00
P017,Samsung Earbuds,Electronics,10000.00
P018,Samsung Keyboard,Electronics,4000.00
P019,Samsung Mouse,Electronics,2500.00
P020,Samsung Charger,Electronics,1500.00
P021,Sony Laptop,Electronics,70000.00
P022,Sony Smartphone,Electronics,60000.00
P023,Sony Tablet,Electronics,40000.00
P024,Sony Monitor,Electronics,30000.00
P025,Sony Smartwatch,Electronics,22000.00
P026,Sony Headphones,Electronics,25000.00
P027,Sony Earbuds,Electronics,15000.00
P028,Sony Keyboard,Electronics,5000.00
P029,Sony Mouse,Electronics,3000.00
P030,Sony Charger,Electronics,2000.00
P031,Dell Laptop,Electronics,55000.00
P032,Dell Smartphone,Electronics,35000.00
P033,Dell Tablet,Electronics,25000.00
P034,Dell Monitor,Electronics,18000.00
P035,Dell Smartwatch,Electronics,15000.00
P036,Dell Headphones,Electronics,8000.00
P037,Dell Earbuds,Electronics,6000.00
P038,Dell Keyboard,Electronics,3000.00
P039,Dell Mouse,Electronics,1500.00
P040,Dell Charger,Electronics,1000.00
P041,HP Laptop,Electronics,52000.00
P042,HP Smartphone,Electronics,32000.00
P043,HP Tablet,Electronics,22000.00
P044,HP Monitor,Electronics,16000.00
P045,HP Smartwatch,Electronics,14000.00
P046,HP Headphones,Electronics,7500.00
P047,HP Earbuds,Electronics,5500.00
P048,HP Keyboard,Electronics,2500.00
P049,HP Mouse,Electronics,1200.00
P050,HP Charger,Electronics,900.00
P051,Lenovo Laptop,Electronics,48000.00
P052,Lenovo Smartphone,Electronics,30000.00
P053,Lenovo Tablet,Electronics,20000.00
P054,Lenovo Monitor,Electronics,15000.00
P055,Lenovo Smartwatch,Electronics,12000.00
P056,Lenovo Headphones,Electronics,6000.00
P057,Lenovo Earbuds,Electronics,4500.00
P058,Lenovo Keyboard,Electronics,2000.00
P059,Lenovo Mouse,Electronics,1000.00
P060,Lenovo Charger,Electronics,800.00
P061,LG Laptop,Electronics,58000.00
P062,LG Smartphone,Electronics,45000.00
P063,LG Tablet,Electronics,28000.00
P064,LG Monitor,Electronics,22000.00
P065,LG Smartwatch,Electronics,18000.00
P066,LG Headphones,Electronics,9000.00
P067,LG Earbuds,Electronics,7000.00
P068,LG Keyboard,Electronics,3500.00
P069,LG Mouse,Electronics,1800.00
P070,LG Charger,Electronics,1200.00
P071,Asus Laptop,Electronics,54000.00
P072,Asus Smartphone,Electronics,38000.00
P073,Asus Tablet,Electronics,24000.00
P074,Asus Monitor,Electronics,19000.00
P075,Asus Smartwatch,Electronics,16000.00
P076,Asus Headphones,Electronics,8500.00
P077,Asus Earbuds,Electronics,6500.00
P078,Asus Keyboard,Electronics,3200.00
P079,Asus Mouse,Electronics,1600.00
P080,Asus Charger,Electronics,1100.00
P081,Acer Laptop,Electronics,46000.00
P082,Acer Smartphone,Electronics,28000.00
